-------------------------
Dylos Logger v 1.6.0.0
Unit: DC1100
Date/Time: 04/06/13 20:00
-------------------------
Particles per cubic foot
-------------------------
Date/Time, Small, Large
04/06/13 20:00, 63800, 13000
04/06/13 20:01, 68600, 14700
04/06/13 20:02, 67200, 13700
04/06/13 20:03, 68900, 16100
04/06/13 20:04, 73200, 19600
04/06/13 20:05, 76800, 21300
04/06/13 20:06, 81000, 23900
04/06/13 20:07, 80500, 22900
04/06/13 20:08, 77300, 22000
04/06/13 20:09, 80400, 20400
04/06/13 20:10, 79100, 20300
04/06/13 20:11, 76700, 19400
04/06/13 20:12, 77800, 20300
04/06/13 20:13, 73200, 17000
04/06/13 20:14, 74900, 18200
04/06/13 20:15, 75300, 17400
04/06/13 20:16, 72800, 16100
04/06/13 20:17, 76200, 14500
04/06/13 20:18, 75600, 16400
04/06/13 20:19, 76500, 16100
04/06/13 20:20, 79400, 15100
04/06/13 20:21, 82300, 16900
04/06/13 20:22, 79600, 15200
04/06/13 20:23, 79500, 15800
04/06/13 20:24, 81000, 16700
04/06/13 20:25, 82300, 16300
04/06/13 20:26, 76500, 15400
04/06/13 20:27, 79900, 16200
04/06/13 20:28, 78900, 14600
04/06/13 20:29, 80100, 14400
04/06/13 20:30, 85200, 15800
04/06/13 20:31, 86600, 16800
04/06/13 20:32, 106100, 16800
04/06/13 20:33, 104000, 17500
04/06/13 20:34, 108000, 17500
04/06/13 20:35, 111300, 18900
04/06/13 20:36, 118700, 21300
04/06/13 20:37, 120100, 19300
04/06/13 20:38, 118400, 19500
04/06/13 20:39, 119500, 19700
04/06/13 20:40, 119600, 20300
04/06/13 20:41, 122200, 20000
04/06/13 20:42, 119900, 19800
04/06/13 20:43, 124700, 20800
04/06/13 20:44, 119900, 19900
04/06/13 20:45, 126800, 22600
04/06/13 20:46, 116700, 18800
04/06/13 20:47, 122200, 20500
04/06/13 20:48, 117900, 19900
04/06/13 20:49, 122200, 21000
04/06/13 20:50, 124700, 22500
04/06/13 20:51, 125800, 22500
04/06/13 20:52, 124700, 22500
04/06/13 20:53, 123600, 22100
04/06/13 20:54, 126400, 22500
04/06/13 20:55, 124800, 21500
04/06/13 20:56, 126600, 20800
04/06/13 20:57, 123300, 22500
04/06/13 20:58, 129000, 22400
04/06/13 20:59, 131000, 23900
04/06/13 21:00, 126800, 22900
04/06/13 21:01, 132300, 22700
04/06/13 21:01, 130500, 23300
04/06/13 21:02, 132200, 22900
04/06/13 21:03, 138800, 24400
04/06/13 21:04, 136800, 23400
04/06/13 21:05, 138100, 25400
04/06/13 21:06, 138900, 24700
04/06/13 21:07, 145000, 25000
04/06/13 21:08, 150000, 24600
04/06/13 21:09, 140700, 24300
04/06/13 21:10, 139200, 24600
04/06/13 21:11, 143400, 25600
04/06/13 21:12, 138700, 23600
04/06/13 21:13, 140100, 23700
04/06/13 21:14, 144700, 24800
04/06/13 21:15, 140600, 23800
04/06/13 21:16, 137900, 22700
04/06/13 21:17, 141300, 25600
04/06/13 21:18, 147800, 24900
04/06/13 21:19, 145900, 25900
04/06/13 21:20, 144400, 24900
04/06/13 21:21, 140400, 25000
04/06/13 21:22, 147800, 24500
04/06/13 21:23, 151300, 27000
04/06/13 21:24, 146300, 26400
04/06/13 21:25, 147500, 25300
04/06/13 21:26, 147000, 26300
04/06/13 21:27, 149400, 26100
04/06/13 21:28, 143200, 25300
04/06/13 21:29, 147300, 25900
04/06/13 21:30, 145000, 26500
04/06/13 21:31, 146100, 25900
04/06/13 21:32, 149500, 26300
04/06/13 21:33, 149100, 27100
04/06/13 21:34, 141900, 25600
04/06/13 21:35, 145800, 26200
04/06/13 21:36, 151600, 26900
04/06/13 21:37, 154300, 25600
04/06/13 21:38, 151900, 25500
04/06/13 21:39, 150700, 24600
04/06/13 21:40, 151600, 25900
04/06/13 21:41, 152200, 26500
04/06/13 21:42, 150100, 26800
04/06/13 21:43, 155800, 27400
04/06/13 21:44, 159500, 27700
04/06/13 21:45, 156800, 27200
04/06/13 21:46, 154400, 26300
04/06/13 21:47, 155500, 27300
04/06/13 21:48, 148000, 23800
04/06/13 21:49, 148400, 24500
04/06/13 21:50, 151900, 24600
04/06/13 21:51, 151300, 24600
04/06/13 21:52, 153600, 25900
04/06/13 21:53, 155800, 23400
04/06/13 21:54, 158700, 26100
04/06/13 21:55, 157900, 26300
04/06/13 21:56, 161400, 26500
04/06/13 21:57, 153900, 25400
04/06/13 21:58, 150500, 22900
04/06/13 21:59, 144300, 22600
04/06/13 22:00, 145700, 22800
04/06/13 22:01, 142500, 21100
04/06/13 22:02, 140000, 23400
04/06/13 22:03, 140300, 21200
04/06/13 22:04, 133900, 21300
04/06/13 22:05, 133500, 20400
04/06/13 22:06, 129400, 21500
04/06/13 22:07, 127700, 20000
04/06/13 22:08, 135100, 21100
04/06/13 22:09, 138900, 22500
04/06/13 22:10, 138100, 19400
04/06/13 22:11, 134900, 21400
04/06/13 22:12, 132100, 18500
04/06/13 22:13, 125400, 19600
04/06/13 22:14, 125200, 17000
04/06/13 22:15, 125500, 19000
04/06/13 22:16, 124900, 19300
04/06/13 22:17, 127000, 18700
04/06/13 22:18, 120800, 18200
04/06/13 22:19, 119700, 18100
04/06/13 22:19, 120300, 17100
04/06/13 22:20, 123400, 17900
04/06/13 22:21, 122400, 18400
04/06/13 22:22, 117600, 17200
04/06/13 22:23, 118500, 16900
04/06/13 22:24, 123900, 16900
04/06/13 22:25, 126800, 18800
04/06/13 22:26, 129700, 20000
04/06/13 22:27, 120800, 18700
04/06/13 22:28, 122700, 16800
04/06/13 22:29, 127200, 18400
04/06/13 22:30, 125700, 18200
04/06/13 22:31, 126200, 16500
04/06/13 22:32, 125400, 17400
04/06/13 22:33, 126200, 17900
04/06/13 22:34, 123500, 17900
04/06/13 22:35, 123000, 17100
04/06/13 22:36, 122100, 16500
04/06/13 22:37, 119700, 17200
04/06/13 22:38, 120000, 15000
04/06/13 22:39, 120200, 17400
04/06/13 22:40, 113900, 16000
04/06/13 22:41, 124300, 17700
04/06/13 22:42, 127300, 15500
04/06/13 22:43, 123000, 16000
04/06/13 22:44, 126600, 15900
04/06/13 22:45, 126200, 16300
04/06/13 22:46, 124800, 17300
04/06/13 22:47, 130900, 17200
04/06/13 22:48, 141900, 19600
04/06/13 22:49, 140200, 18300
04/06/13 22:50, 136200, 18200
04/06/13 22:51, 136000, 18500
04/06/13 22:52, 134600, 16800
04/06/13 22:53, 134000, 17500
04/06/13 22:54, 140100, 17600
04/06/13 22:55, 144200, 19300
04/06/13 22:56, 143300, 20300
04/06/13 22:57, 144200, 18100
04/06/13 22:58, 144900, 19900
04/06/13 22:59, 147300, 18600
04/06/13 23:00, 156400, 20400
04/06/13 23:01, 147600, 18900
04/06/13 23:02, 142800, 18900
04/06/13 23:03, 147400, 20400
04/06/13 23:04, 146900, 20100
04/06/13 23:05, 147300, 19200
04/06/13 23:06, 147700, 21200
04/06/13 23:07, 148200, 19300
04/06/13 23:08, 153500, 19800
04/06/13 23:09, 146600, 18300
04/06/13 23:10, 150100, 20200
04/06/13 23:11, 149500, 20400
04/06/13 23:12, 150700, 20100
04/06/13 23:13, 148900, 19300
04/06/13 23:14, 148100, 18800
04/06/13 23:15, 150200, 19400
04/06/13 23:16, 149500, 19400
04/06/13 23:17, 148900, 19800
04/06/13 23:18, 151200, 18900
04/06/13 23:19, 154700, 20400
04/06/13 23:20, 155100, 20400
04/06/13 23:21, 155600, 20100
04/06/13 23:22, 154600, 18800
04/06/13 23:23, 162000, 21700
04/06/13 23:24, 164000, 20400
04/06/13 23:25, 159400, 21100
04/06/13 23:26, 157800, 19700
04/06/13 23:27, 159200, 21100
04/06/13 23:28, 157300, 20100
04/06/13 23:29, 154000, 19100
04/06/13 23:30, 158000, 18400
04/06/13 23:31, 153200, 18900
04/06/13 23:32, 156200, 20300
04/06/13 23:33, 153400, 20800
04/06/13 23:34, 155800, 19300
04/06/13 23:35, 166000, 20300
04/06/13 23:36, 155900, 18400
04/06/13 23:36, 154800, 17700
04/06/13 23:37, 162900, 20600
04/06/13 23:38, 162000, 20000
04/06/13 23:39, 165400, 21600
04/06/13 23:40, 162100, 19300
04/06/13 23:41, 162500, 21200
04/06/13 23:42, 166700, 21100
04/06/13 23:43, 166800, 21400
04/06/13 23:44, 165400, 19700
04/06/13 23:45, 167000, 22100
04/06/13 23:46, 162400, 18800
04/06/13 23:47, 166100, 21700
04/06/13 23:48, 169200, 20300
04/06/13 23:49, 172500, 22900
04/06/13 23:50, 199100, 26300
04/06/13 23:51, 209000, 26600
04/06/13 23:52, 214500, 27800
04/06/13 23:53, 215400, 28200
04/06/13 23:54, 224400, 28500
04/06/13 23:55, 234400, 30100
04/06/13 23:56, 240300, 32500
04/06/13 23:57, 249200, 32800
04/06/13 23:58, 253000, 33700
04/06/13 23:59, 271400, 34700
04/07/13 00:00, 266000, 34500
04/07/13 00:01, 254600, 32900
04/07/13 00:02, 262700, 35200
04/07/13 00:03, 260400, 34300
04/07/13 00:04, 270800, 36400
04/07/13 00:05, 270000, 36400
04/07/13 00:06, 271000, 34700
04/07/13 00:07, 272600, 34800
04/07/13 00:08, 271700, 35300
04/07/13 00:09, 274600, 36300
04/07/13 00:10, 275000, 35800
04/07/13 00:11, 273300, 37300
04/07/13 00:12, 265200, 35400
04/07/13 00:13, 263400, 36300
04/07/13 00:14, 269200, 37100
